nid,ctl_id,anotaciones_raw,error,tiene_hipoteca,tiene_leasing,tiene_patrimonio_familia,aplica
5068063289,211120171292,Regimen de propiedad horizontal | Afectacion a vivienda familiar,,False,False,False,True
7495878215,212039155611,Regimen de propiedad horizontal | Hipoteca,,True,False,False,False
8616533688,211389008714,Regimen de propiedad horizontal | Patrimonio de familia,,False,False,True,False
12558176356,212742856800,Regimen de propiedad horizontal | Servidumbre | Hipoteca | Patrimonio de familia | Prohibicion de transferencia | Derecho de preferencia,,True,False,True,False
13602322029,212897569870,Regimen de propiedad horizontal | Hipoteca | Patrimonio de familia | Prohibicion de transferencia | Derecho de preferencia,,True,False,True,False
16165864793,212480216617,Regimen de propiedad horizontal | Hipoteca | Patrimonio de familia,,True,False,True,False
16430218675,212831977829,Regimen de propiedad horizontal | Patrimonio de familia,,False,False,True,False
16878498445,195836321872,Regimen de propiedad horizontal | Servidumbre | Patrimonio de familia | Prohibicion de transferencia | Derecho de preferencia,,False,False,True,False
17341106235,208387079943,Regimen de propiedad horizontal | Hipoteca | Patrimonio de familia | Derecho de preferencia | Prohibicion de transferencia,,True,False,True,False
20106301090,212673232272,Hipoteca | Regimen de propiedad horizontal | Afectacion a vivienda familiar,,True,False,False,False
21210909105,193814075687,,extract_error: Invalid or unreadable PDF document,,,,False
22944713223,200332982542,Regimen de propiedad horizontal | Hipoteca | Patrimonio de familia | Prohibicion de transferencia | Derecho de preferencia,,True,False,True,False
29037454132,212906551393,Regimen de propiedad horizontal | Patrimonio de familia | Hipoteca,,True,False,True,False
29724649770,208573936427,,extract_error: Invalid or unreadable PDF document,,,,False
32032595211,211825670448,Regimen de propiedad horizontal | Patrimonio de familia,,False,False,True,False
33630811945,212542533227,Regimen de propiedad horizontal | Hipoteca | Patrimonio de familia,,True,False,True,False
34142871348,191820282475,Regimen de propiedad horizontal | Sucesion | Hipoteca,,True,False,False,False
34485083049,212029542672,Regimen de propiedad horizontal | Hipoteca | Patrimonio de familia,,True,False,True,False
35771071537,211264146212,Regimen de propiedad horizontal | Hipoteca | Patrimonio de familia,,True,False,True,False
36294872503,191542912938,Regimen de propiedad horizontal | Patrimonio de familia | Hipoteca,,True,False,True,False
36649172016,212882627993,Regimen de propiedad horizontal | Hipoteca | Patrimonio de familia | Prohibicion de transferencia | Derecho de preferencia | Embargo,,True,False,True,False
37528939181,190640613703,,extract_error: Invalid or unreadable PDF document,,,,False
37995147392,212113625406,Regimen de propiedad horizontal | Hipoteca,,True,False,False,False
38314612526,206649401370,Regimen de propiedad horizontal | Patrimonio de familia | Prohibicion de transferencia | Derecho de preferencia,,False,False,True,False
38612439111,206991825472,Regimen de propiedad horizontal | Prohibicion de transferencia | Derecho de preferencia | Patrimonio de familia | Hipoteca,,True,False,True,False
39019748632,191780656777,Regimen de propiedad horizontal | Patrimonio de familia | Hipoteca,,True,False,True,False
39501458451,193131079174,Regimen de propiedad horizontal | Servidumbre,,False,False,False,True
